UCT Agent      2217MiB     2217MiB     20.6%   3.364051s
Recycle-UCT    682MiB      682MiB      20.6%   0.692735s
UCT Agent      181MiB      182MiB      20.6%   0.196672s
Recycle-UCT    0MiB        0MiB        20.6%   0.066941s
UCT Agent      12MiB       12MiB       20.6%   0.062488s
Recycle-UCT    0MiB        0MiB        20.6%   0.041575s
UCT Agent      0MiB        0MiB        20.6%   0.036482s
Recycle-UCT    3059MiB     3060MiB     20.5%   4.476864s
UCT Agent      2678MiB     2679MiB     20.5%   4.099895s
Recycle-UCT    2190MiB     2190MiB     20.5%   2.75798s
UCT Agent      598MiB      598MiB      20.5%   0.629578s
Recycle-UCT    100MiB      100MiB      20.5%   0.160336s
UCT Agent      51MiB       51MiB       20.5%   0.127729s
Recycle-UCT    0MiB        0MiB        20.5%   0.050853s
UCT Agent      3MiB        3MiB        20.5%   0.035961s
UCT Agent      3062MiB     3064MiB     20.6%   4.578074s
Recycle-UCT    2680MiB     2681MiB     20.5%   4.203432s
UCT Agent      2194MiB     2194MiB     20.5%   3.069503s
Recycle-UCT    684MiB      684MiB      20.5%   0.71885s
UCT Agent      178MiB      178MiB      20.5%   0.196446s
Recycle-UCT    0MiB        0MiB        20.5%   0.065932s
UCT Agent      12MiB       12MiB       20.5%   0.061916s
Recycle-UCT    0MiB        0MiB        20.5%   0.04466s
UCT Agent      0MiB        0MiB        20.5%   0.038557s
Recycle-UCT    3065MiB     3066MiB     20.5%   4.780255s
UCT Agent      2680MiB     2681MiB     20.4%   4.400142s
Recycle-UCT    2200MiB     2201MiB     20.4%   3.287458s
UCT Agent      721MiB      721MiB      20.4%   0.774559s
Recycle-UCT    104MiB      104MiB      20.4%   0.144524s
UCT Agent      52MiB       52MiB       20.4%   0.105913s
Recycle-UCT    1MiB        1MiB        20.4%   0.062243s
UCT Agent      2MiB        2MiB        20.4%   0.050872s
Recycle-UCT    0MiB        0MiB        20.4%   0.032696s
UCT Agent      3066MiB     3068MiB     20.4%   4.868674s
Recycle-UCT    2678MiB     2679MiB     20.3%   4.163407s
UCT Agent      2203MiB     2203MiB     20.3%   2.70525s
Recycle-UCT    525MiB      526MiB      20.3%   0.488903s
UCT Agent      185MiB      186MiB      20.3%   0.225558s
Recycle-UCT    2MiB        2MiB        20.3%   0.064248s
